section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368564440431,576.395,751.645,1,42,,0.7989712715382056,-15.541081245619646
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368568448431,577.301,751.137,1,42,,0.8684990703606663,-15.502915992002846
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368576428431,586.115,748.985,1,42,,1.544955644673466,-15.340484904601205
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368580447431,584.39,747.621,1,42,,1.4119909137748814,-15.238530924715391
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368584447431,586.645,746.366,1,,,1.584657758857048,-15.144122935401413
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368588643431,589.109,745.677,1,,,1.7734440141986287,-15.092020860963023
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368596401431,596.546,743.915,1,,,2.343132476623726,-14.958264363820385
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368600447431,602.358,743.112,1,,,2.788447983691515,-14.896445240589843
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368604559431,607.316,742.222,1,,,3.1680237533312594,-14.828128703357502
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368608451431,614.896,741.582,1,,,3.7486548232323234,-14.777221779164043
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368616574431,615.603,740.565,1,,,3.8019862212677755,-14.70079746442089
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368620542431,614.37,739.778,1,,,3.7068131167938656,-14.642360384698392
